shift,downtime_min,availability,proficiency,target_units,units,defect_rate_pct,energy_kwh
1,0.0,0.985,0.48,387.8,265.9,1.682,34.06
2,0.0,0.985,0.5216,387.8,289.0,1.62,33.95
3,0.0,0.985,0.5598,387.8,310.1,1.562,33.86
4,0.0,0.985,0.595,387.8,329.6,1.507,33.76
5,0.0,0.985,0.6274,387.8,347.6,1.455,33.67
6,0.0,0.985,0.6572,387.8,364.1,1.406,33.59
7,22.3,0.9385,0.6846,387.8,377.2,1.36,34.26
8,0.0,0.985,0.7098,387.8,387.8,1.317,33.44
9,0.0,0.985,0.733,387.8,387.8,1.276,33.37
10,0.0,0.985,0.7544,387.8,387.8,1.237,33.3
11,30.3,0.9218,0.774,419.9,419.9,1.201,34.25
12,0.0,0.985,0.7921,434.8,434.8,1.167,33.18
13,22.3,0.9385,0.8087,449.7,445.5,1.134,33.87
14,19.7,0.944,0.824,464.6,454.2,1.104,33.73
15,0.0,0.985,0.8381,479.5,464.3,1.075,33.03
16,0.0,0.985,0.851,494.4,471.5,1.048,32.98
17,0.0,0.985,0.8629,509.3,478.1,1.022,32.94
18,22.3,0.9385,0.8739,524.2,481.4,0.998,33.64
19,0.0,0.985,0.884,539.1,489.7,0.975,32.86
20,0.0,0.985,0.8932,554.0,494.9,0.954,32.82
21,0.0,0.985,0.9018,554.0,499.6,0.934,32.79
22,0.0,0.985,0.9096,554.0,503.9,0.915,32.75
23,0.0,0.985,0.9169,554.0,507.9,0.897,32.72
24,0.0,0.985,0.9235,554.0,511.6,0.88,32.7
25,21.7,0.9397,0.9296,554.0,512.2,0.864,33.39
26,0.0,0.985,0.9353,554.0,518.1,0.849,32.64
27,22.1,0.9389,0.9404,554.0,518.1,0.834,33.36
28,18.8,0.9458,0.9452,554.0,521.2,0.821,33.22
29,0.0,0.985,0.9496,554.0,526.1,0.808,32.57
30,0.0,0.985,0.9536,554.0,528.3,0.797,32.55
31,22.3,0.9385,0.9573,554.0,527.4,0.785,33.28
32,0.0,0.985,0.9607,554.0,532.2,0.775,32.52
33,50.6,0.8796,0.9639,554.0,527.2,0.765,34.19
34,0.0,0.985,0.9668,554.0,535.6,0.755,32.48
35,22.3,0.9385,0.9694,554.0,534.1,0.746,33.21
36,0.0,0.985,0.9719,554.0,538.4,0.738,32.45
37,0.0,0.985,0.9741,554.0,539.7,0.73,32.44
38,0.0,0.985,0.9762,554.0,540.8,0.723,32.43
39,23.6,0.9359,0.9781,554.0,538.7,0.716,33.2
40,22.3,0.9385,0.9798,554.0,539.8,0.709,33.15
41,88.5,0.8006,0.9814,554.0,531.7,0.703,35.34
42,0.0,0.985,0.9829,554.0,544.5,0.697,32.38
43,0.0,0.985,0.9843,554.0,545.3,0.691,32.38
44,22.3,0.9385,0.9856,554.0,542.9,0.686,33.11
45,27.2,0.9283,0.9867,554.0,542.9,0.681,33.27
46,0.0,0.985,0.9878,554.0,547.2,0.677,32.35
47,41.2,0.8992,0.9887,554.0,542.1,0.672,33.72
48,22.3,0.9385,0.9896,554.0,545.2,0.668,33.08
49,0.0,0.985,0.9905,554.0,548.7,0.664,32.33
50,16.1,0.9514,0.9912,554.0,546.9,0.661,32.86
51,0.0,0.985,0.9919,554.0,549.5,0.657,32.32
52,0.0,0.985,0.9926,554.0,549.9,0.654,32.31
53,0.0,0.985,0.9932,554.0,550.2,0.651,32.31
54,0.0,0.985,0.9937,554.0,550.5,0.648,32.3
55,0.0,0.985,0.9942,554.0,550.8,0.645,32.3
56,13.7,0.9565,0.9947,554.0,549.2,0.643,32.75
57,0.0,0.985,0.9951,554.0,551.3,0.64,32.29
58,22.3,0.9385,0.9955,554.0,548.4,0.638,33.03
59,0.0,0.985,0.9959,554.0,551.7,0.636,32.28
60,0.0,0.985,0.9962,554.0,551.9,0.634,32.28
